bottom_left,top_right,name,pop_density
"(-1.8161109685897259, 53.421360015869254)","(-1.3061840534210205, 53.60667037963873)",Barnsley,750.0
"(-2.6966557502745445, 51.27304840087885)","(-2.2769451141356853, 51.43659210205084)",Bath and North East Somerset,559.0
"(-0.6544439792632488, 52.08183670043957)","(-0.2922573387622833, 52.317974090576286)",Bedford,364.0
"(-2.0108871459960938, 52.377490997314396)","(-1.7333320379256634, 52.607460021972656)",Birmingham,4264.0
"(-2.564295291900578, 53.616146087646484)","(-2.3669300079345703, 53.78715896606457)",Blackburn with Darwen,1092.0
"(-3.0580549240111736, 53.776897430420036)","(-2.995264768600464, 53.880752563476676)",Blackpool,3999.0
"(-2.6409306526183514, 53.51855087280279)","(-2.334949254989567, 53.63376617431635)",Bolton,2057.0
"(-0.8352397680282024, 51.33313369750982)","(-0.6335460543631939, 51.470760345458984)",Bracknell Forest,1120.0
"(-2.054637908935547, 53.72221755981445)","(-1.6386594772338867, 53.962688446044865)",Bradford,1473.0
"(-0.23055499792099, 50.79930496215832)","(-0.023762045428156853, 50.89139175415045)",Brighton and Hove,3512.0
"(-2.4054169654845623, 53.514717102050895)","(-2.250516891479492, 53.66535186767584)",Bury,1920.0
"(-2.159722089767456, 53.61591339111334)","(-1.7268034219741821, 53.822307586669865)",Calderdale,581.0
"(0.14767824113363304, 52.15781784057617)","(0.2473315447569462, 52.23085784912121)",Cambridge,3066.0
"(0.04170852154499016, 52.15780258178711)","(0.5017970800399212, 52.503330230713004)",East Cambridgeshire,138.0
"(-0.19463731348514557, 52.3822021484375)","(0.24557970464235268, 52.74031829833996)",Fenland,186.0
"(-0.5039574503898052, 52.15367889404297)","(0.05687946081161499, 52.57614898681635)",Huntingdonshire,196.0
"(0.15707799792295418, 52.43138885498047)","(0.8173015713691711, 52.988193511963004)",King's Lynn and West Norfolk,105.0
"(-0.2194525450467495, 52.00249099731457)","(0.43337869644170723, 52.37567520141607)",South Cambridgeshire,176.0
"(-0.6880549788475037, 51.801670074462834)","(-0.141914963722229, 52.20760345458996)",Central Bedfordshire,403.0
"(-2.7695577144622803, 52.96085739135748)","(-2.0024092197418213, 53.38039016723633)",Cheshire East,329.0
"(-3.1175944805144695, 52.988212585449276)","(-2.3542683124542236, 53.362483978271484)",Cheshire West and Chester,373.0
"(-5.7480549812316895, 49.95541763305664)","(-4.165832996368408, 50.923049926757756)",Cornwall,161.0
"(-1.5962399244307335, 52.378635406494084)","(-1.4422719478607178, 52.46838378906244)",Coventry,3766.0
"(-3.5791659355163574, 54.54137802124018)","(-2.888490438461247, 54.95458221435558)",Allerdale,79.0
"(-3.276945114135742, 54.044303894043026)","(-3.1213901042937664, 54.25016403198242)",Barrow-in-Furness,861.0
"(-3.1128242015838623, 54.83375167846691)","(-2.4819459915161133, 55.19132995605469)",Carlisle,105.0
"(-3.64083194732666, 54.11138916015625)","(-2.974116563796997, 54.61769104003912)",Copeland,93.0
"(-3.007910966873169, 54.432479858398494)","(-2.150278091430664, 54.89271545410162)",Eden,25.0
"(-3.09277606010437, 54.149307250976676)","(-2.2799301147460938, 54.56071090698242)",South Lakeland,68.0
"(-1.7205075025557335, 54.44609832763666)","(-1.4182077646254925, 54.62272262573248)",Darlington,541.0
